step,task,model,cohort,window,n_samples,positive_rate,auroc_mean,auroc_std,auprc_mean,auprc_std,test_auroc,test_auprc,fold_details,seed,input_paths,source_json
text,mortality,XGBoost (ClinicalBERT),all,24h,74819,0.1193413437763135,0.8123381308844418,0.0056053229836703555,0.41403874390024403,0.010125942005808748,0.8167979083721025,0.4436588758615253,"[{""fold"": 1, ""auroc"": 0.8072434225188615, ""auprc"": 0.42851111791283164}, {""fold"": 2, ""auroc"": 0.8203500191722454, ""auprc"": 0.3993636566804777}, {""fold"": 3, ""auroc"": 0.8054405748169151, ""auprc"": 0.4152687758351642}, {""fold"": 4, ""auroc"": 0.8119352200606801, ""auprc"": 0.4200758494768949}, {""fold"": 5, ""auroc"": 0.8167214178535073, ""auprc"": 0.40697431959585184}]",42,"{""cohort_file"": ""${PROJECT_ROOT}/data/processed/merge_output/cohort_final_extended.csv"", ""embeddings_file"": ""${PROJECT_ROOT}/data/processed/text_embeddings/clinical_bert_embeddings.npy"", ""embedding_stay_ids"": ""${PROJECT_ROOT}/data/processed/text_embeddings/embedding_stay_ids.csv""}",text_only_embeddings_results_folds.json
text,mortality,LogisticRegression (ClinicalBERT),all,24h,74819,0.1193413437763135,0.8287430492964105,0.004978968863960192,0.4291081979126803,0.012864319558643063,0.8317941900205952,0.44385258665166477,"[{""fold"": 1, ""auroc"": 0.8220253199101053, ""auprc"": 0.4390312295817136}, {""fold"": 2, ""auroc"": 0.8320532383413964, ""auprc"": 0.40421508591204747}, {""fold"": 3, ""auroc"": 0.8242662760325404, ""auprc"": 0.43785536231833405}, {""fold"": 4, ""auroc"": 0.82979187620495, ""auprc"": 0.4348124130474217}, {""fold"": 5, ""auroc"": 0.8355785359930601, ""auprc"": 0.42962689870388426}]",42,"{""cohort_file"": ""${PROJECT_ROOT}/data/processed/merge_output/cohort_final_extended.csv"", ""embeddings_file"": ""${PROJECT_ROOT}/data/processed/text_embeddings/clinical_bert_embeddings.npy"", ""embedding_stay_ids"": ""${PROJECT_ROOT}/data/processed/text_embeddings/embedding_stay_ids.csv""}",text_only_embeddings_results_folds.json
text,prolonged_los,XGBoost (ClinicalBERT),all,24h,74819,0.1616434328178671,0.7893660680393622,0.008691866679275307,0.436454518634459,0.01235667242172254,0.7997133574438285,0.45593760129530025,"[{""fold"": 1, ""auroc"": 0.7763966084115148, ""auprc"": 0.4224593758501959}, {""fold"": 2, ""auroc"": 0.7943335360234245, ""auprc"": 0.4347002280666881}, {""fold"": 3, ""auroc"": 0.8023519433860351, ""auprc"": 0.4596225508266638}, {""fold"": 4, ""auroc"": 0.7882539094569775, ""auprc"": 0.43307664771796}, {""fold"": 5, ""auroc"": 0.785494342918859, ""auprc"": 0.4324137907107871}]",42,"{""cohort_file"": ""${PROJECT_ROOT}/data/processed/merge_output/cohort_final_extended.csv"", ""embeddings_file"": ""${PROJECT_ROOT}/data/processed/text_embeddings/clinical_bert_embeddings.npy"", ""embedding_stay_ids"": ""${PROJECT_ROOT}/data/processed/text_embeddings/embedding_stay_ids.csv""}",text_only_embeddings_results_folds.json
text,prolonged_los,LogisticRegression (ClinicalBERT),all,24h,74819,0.1616434328178671,0.7901220960069001,0.009057026800954628,0.4375877442845863,0.010400073314135592,0.8000285843085265,0.452103561517585,"[{""fold"": 1, ""auroc"": 0.7800726805189074, ""auprc"": 0.42665655126230967}, {""fold"": 2, ""auroc"": 0.7985773467887889, ""auprc"": 0.4369109628459983}, {""fold"": 3, ""auroc"": 0.8031322991684536, ""auprc"": 0.45692162293941196}, {""fold"": 4, ""auroc"": 0.7831416182104858, ""auprc"": 0.4366586419660057}, {""fold"": 5, ""auroc"": 0.7856865353478646, ""auprc"": 0.4307909424092059}]",42,"{""cohort_file"": ""${PROJECT_ROOT}/data/processed/merge_output/cohort_final_extended.csv"", ""embeddings_file"": ""${PROJECT_ROOT}/data/processed/text_embeddings/clinical_bert_embeddings.npy"", ""embedding_stay_ids"": ""${PROJECT_ROOT}/data/processed/text_embeddings/embedding_stay_ids.csv""}",text_only_embeddings_results_folds.json
text,mortality,XGBoost (MedCAT),all,24h,74829,0.11933875903727165,0.5571238974361171,0.003189296116724321,0.14973193290852424,0.004129782560705027,0.5520211063414434,0.1505857566720703,"[{""fold"": 1, ""auroc"": 0.5525206631198335, ""auprc"": 0.1572234377391557}, {""fold"": 2, ""auroc"": 0.5597283812215869, ""auprc"": 0.15062948894534595}, {""fold"": 3, ""auroc"": 0.5545481782901684, ""auprc"": 0.14849319750104117}, {""fold"": 4, ""auroc"": 0.5611122688226275, ""auprc"": 0.1469470948034267}, {""fold"": 5, ""auroc"": 0.5577099957263694, ""auprc"": 0.14536644555365175}]",42,"{""cohort_file"": ""${PROJECT_ROOT}/data/processed/merge_output/cohort_final_extended.csv"", ""medcat_features_file"": ""${PROJECT_ROOT}/data/processed/medcat_full/medcat_has_concepts_24h.csv""}",text_only_medcat_results_folds.json
text,mortality,LogisticRegression (MedCAT),all,24h,74829,0.11933875903727165,0.557478215954065,0.003064425280549875,0.14646419677606276,0.004944734024962267,0.551939384972331,0.15007412088940106,"[{""fold"": 1, ""auroc"": 0.5537237009957561, ""auprc"": 0.15526203543528844}, {""fold"": 2, ""auroc"": 0.5603475425270235, ""auprc"": 0.14737171849099576}, {""fold"": 3, ""auroc"": 0.5541922724136662, ""auprc"": 0.14539569974903677}, {""fold"": 4, ""auroc"": 0.5611649530858381, ""auprc"": 0.14381714507365348}, {""fold"": 5, ""auroc"": 0.5579626107480414, ""auprc"": 0.14047438513133922}]",42,"{""cohort_file"": ""${PROJECT_ROOT}/data/processed/merge_output/cohort_final_extended.csv"", ""medcat_features_file"": ""${PROJECT_ROOT}/data/processed/medcat_full/medcat_has_concepts_24h.csv""}",text_only_medcat_results_folds.json
text,prolonged_los,XGBoost (MedCAT),all,24h,74829,0.1616351949110639,0.5553953101046152,0.0026890180784084113,0.19753106778880694,0.003994873651383839,0.5495267601379571,0.19455983193260565,"[{""fold"": 1, ""auroc"": 0.55486421312074, ""auprc"": 0.19748358426409232}, {""fold"": 2, ""auroc"": 0.5605028880734068, ""auprc"": 0.19816626357025255}, {""fold"": 3, ""auroc"": 0.5536880109349369, ""auprc"": 0.19350683380266315}, {""fold"": 4, ""auroc"": 0.5527873262923731, ""auprc"": 0.20460143333826683}, {""fold"": 5, ""auroc"": 0.5551341121016188, ""auprc"": 0.19389722396875983}]",42,"{""cohort_file"": ""${PROJECT_ROOT}/data/processed/merge_output/cohort_final_extended.csv"", ""medcat_features_file"": ""${PROJECT_ROOT}/data/processed/medcat_full/medcat_has_concepts_24h.csv""}",text_only_medcat_results_folds.json
text,prolonged_los,LogisticRegression (MedCAT),all,24h,74829,0.1616351949110639,0.5552349415314777,0.002993303985432243,0.19670336284451065,0.0038090735448741285,0.5490531544763728,0.1922298079828476,"[{""fold"": 1, ""auroc"": 0.5552876247565726, ""auprc"": 0.197550797296917}, {""fold"": 2, ""auroc"": 0.5607767175954164, ""auprc"": 0.1990076263054144}, {""fold"": 3, ""auroc"": 0.5538630385143274, ""auprc"": 0.19095560211260362}, {""fold"": 4, ""auroc"": 0.5518414431223583, ""auprc"": 0.20188152998549527}, {""fold"": 5, ""auroc"": 0.5544058836687138, ""auprc"": 0.19412125852212297}]",42,"{""cohort_file"": ""${PROJECT_ROOT}/data/processed/merge_output/cohort_final_extended.csv"", ""medcat_features_file"": ""${PROJECT_ROOT}/data/processed/medcat_full/medcat_has_concepts_24h.csv""}",text_only_medcat_results_folds.json
text,mortality,XGBoost,all,24h,74829,0.11933875903727165,0.7432808307531481,0.00475749408089622,0.3069308407124097,0.015720812195680042,0.7550808933273397,0.3265808790761396,"[{""fold"": 1, ""auroc"": 0.7502304885650131, ""auprc"": 0.3371593531789281}, {""fold"": 2, ""auroc"": 0.7383310021835364, ""auprc"": 0.3000974176189784}, {""fold"": 3, ""auroc"": 0.7376043572590658, ""auprc"": 0.291288495158488}, {""fold"": 4, ""auroc"": 0.7442857876314128, ""auprc"": 0.30356708491446277}, {""fold"": 5, ""auroc"": 0.7459525181267124, ""auprc"": 0.3025418526911914}]",42,"{""episodes_dir"": ""${PROJECT_ROOT}/episodes/episodes_enhanced""}",text_only_results_folds.json
text,mortality,LogisticRegression,all,24h,74829,0.11933875903727165,0.7371460390178711,0.004955542717719352,0.30675802219395,0.01464027440868684,0.7480593115718317,0.3286661003717089,"[{""fold"": 1, ""auroc"": 0.7424956043575666, ""auprc"": 0.33526232654802085}, {""fold"": 2, ""auroc"": 0.7283971754365416, ""auprc"": 0.3032745886558041}, {""fold"": 3, ""auroc"": 0.7354596174892254, ""auprc"": 0.2942396280019267}, {""fold"": 4, ""auroc"": 0.7387270609530079, ""auprc"": 0.3029758265984768}, {""fold"": 5, ""auroc"": 0.7406507368530144, ""auprc"": 0.29803774116552134}]",42,"{""episodes_dir"": ""${PROJECT_ROOT}/episodes/episodes_enhanced""}",text_only_results_folds.json
