task,feature_set,description,model,cv_auroc_mean,cv_auroc_std,cv_auprc_mean,cv_auprc_std,test_auroc,test_auprc,n_test,n_features,n_samples,positive_rate,split_source
readmission_30d,timeseries,仅时序,LogisticRegression,0.5604383191510863,0.006365803401205515,0.24945299919098848,0.004743894106480676,0.5599672917740517,0.24650062654565325,13179,36,65899,0.2135540751756476,predefined_splits.csv
readmission_30d,timeseries,仅时序,GradientBoosting,0.5660798936457793,0.00956393086859856,0.2532994401828566,0.007019806371922523,0.5638736731341185,0.25247174395525057,13179,36,65899,0.2135540751756476,predefined_splits.csv
readmission_30d,annotation,时序+标注,LogisticRegression,0.5682236019105583,0.005961997833609646,0.25353199101344936,0.005824009216068365,0.5680365382548078,0.25034637985690544,13179,44,65899,0.2135540751756476,predefined_splits.csv
readmission_30d,annotation,时序+标注,GradientBoosting,0.5694938807903338,0.006858167184829019,0.25509882704234,0.005747638237671997,0.5653280917938979,0.25258647982290183,13179,44,65899,0.2135540751756476,predefined_splits.csv
readmission_30d,bert,时序+标注+BERT,LogisticRegression,0.5840648704134119,0.007611604392671319,0.26458592413173493,0.00821857444545507,0.5775404667154577,0.2572717359754933,13176,94,65890,0.21358324480194263,predefined_splits.csv
readmission_30d,bert,时序+标注+BERT,GradientBoosting,0.5762371884064005,0.007718541902190175,0.25764914825197544,0.006138399452394684,0.5763917463771625,0.25681469108487537,13176,94,65890,0.21358324480194263,predefined_splits.csv
readmission_30d,concept,时序+标注+概念,LogisticRegression,0.5733511044163283,0.005017600516939285,0.2601981087190684,0.006152450433952777,0.5736636992827305,0.25245830974597894,13176,96,65890,0.21358324480194263,predefined_splits.csv
readmission_30d,concept,时序+标注+概念,GradientBoosting,0.5787718443481582,0.006508572790796206,0.26057765098585506,0.0046836869862837485,0.5754452325262593,0.2534486269858688,13176,96,65890,0.21358324480194263,predefined_splits.csv
readmission_30d,all,全特征融合,LogisticRegression,0.5866934038604262,0.0073743766242184965,0.2677359857138758,0.008245899824144065,0.5828052453748325,0.2577639628245447,13176,146,65890,0.21358324480194263,predefined_splits.csv
readmission_30d,all,全特征融合,GradientBoosting,0.5788904777752327,0.007302502972093342,0.26117113142005777,0.006900981521432722,0.5764306574261254,0.2557100860577727,13176,146,65890,0.21358324480194263,predefined_splits.csv
